Site,oak_group,count,median,mean,std
Fern Station,red_oak,26,60.5,55.5,21.2908431
Fern Station,white_oak,29,52,54.27586207,13.39215269
Nature Park,non_oak,37,51,49.16216216,18.88637591
Nature Park,red_oak,91,35,40.41758242,17.77643005
