Species,count,prop
R,432,0.45665961945031713
QURU,162,0.17124735729386892
W,79,0.08350951374207188
QUAL,58,0.0613107822410148
SAAL,25,0.026427061310782242
OSVI,15,0.015856236786469344
Unknown,14,0.014799154334038054
QUVE,11,0.011627906976744186
LITU,7,0.007399577167019027
ACSA,2,0.0021141649048625794
TIAM,2,0.0021141649048625794
QUMU,2,0.0021141649048625794
CECA,2,0.0021141649048625794
ASCA,1,0.0010570824524312897
Chinqupin,1,0.0010570824524312897
