Site,oak_group,count,sum,prop_browsed
Fern Station,non_oak,50,21.0,0.42
Fern Station,red_oak,246,48.0,0.1951219512195122
Fern Station,white_oak,104,37.0,0.3557692307692308
Nature Park,non_oak,9,0.0,0.0
Nature Park,red_oak,169,94.0,0.5562130177514792
Nature Park,white_oak,0,0.0,
