Site,oak_group,count,sum,prop_browsed
Fern Station,non_oak,51,0,0
Fern Station,red_oak,291,0,0
Fern Station,white_oak,137,0,0
Nature Park,non_oak,151,0,0
Nature Park,red_oak,314,0,0
Nature Park,white_oak,2,0,0
