Species,count
R,432
QURU,162
nan,133
W,79
QUAL,58
SAAL,25
OSVI,15
Unknown,14
QUVE,11
LITU,7
TIAM,2
ACSA,2
CECA,2
QUMU,2
ASCA,1
Chinqupin,1
