Site,oak_group,Adult,Sapling,Seedling,Unknown
Fern Station,non-oak,0,0,50,1
Fern Station,red_oak,26,0,247,18
Fern Station,white_oak,29,0,105,3
Nature Park,non-oak,37,1,53,60
Nature Park,red_oak,91,0,205,18
Nature Park,white_oak,0,0,2,0
