Site,count,mean,std,min,25%,50%,75%,max
Fern Station,247.0,15.955465587044534,5.748280096773764,5.0,10.0,15.0,20.0,35.0
Nature Park,205.0,18.658536585365855,8.79786559481277,3.0,11.0,17.0,25.0,50.0
