Site,oak_group,count,median,mean,std
Fern Station,red_oak,26,60.5,55.5,21.290843102141356
Fern Station,white_oak,29,52.0,54.275862068965516,13.39215269083284
Nature Park,non_oak,37,51.0,49.16216216216216,18.886375914801526
Nature Park,red_oak,91,35.0,40.417582417582416,17.776430046594427
