Site,oak_group,count,sum,prop_browsed
Fern Station,non-oak,0,0.0,
Fern Station,red_oak,0,0.0,
Fern Station,white_oak,0,0.0,
Nature Park,non-oak,0,0.0,
Nature Park,red_oak,0,0.0,
Nature Park,white_oak,0,0.0,
