Site,oak_group,count,median,mean,std
Fern Station,non_oak,50,18.0,18.82,7.506976347208709
Fern Station,red_oak,247,15.0,15.955465587044534,5.7482800967737635
Fern Station,white_oak,105,17.0,18.314285714285713,8.014787157923358
Nature Park,non_oak,53,50.0,65.47169811320755,40.74149452225718
Nature Park,red_oak,205,17.0,18.658536585365855,8.797865594812771
Nature Park,white_oak,2,32.5,32.5,10.606601717798213
