oak_group,height_class,Browsed_bin
non_oak,100–200,0
non_oak,10–30,0
non_oak,30–60,0
non_oak,60–100,0
red_oak,10–30,0
red_oak,30–60,0
red_oak,<10,0
unknown,10–30,0
unknown,30–60,0
unknown,<10,0
white_oak,10–30,0
white_oak,30–60,0
white_oak,<10,0
